"age","over_budget","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","condition","grade","sqft_above","lat","long","distance","sqft_living15","sqft_lot15","waterfront","view","basement","renovated","season"
60,"no",221900,3,1,1180,5650,1,3,7,1180,47.5112,-122.257,7.62209643954269,1340,5650,"no","no","no","no","non-summer"
64,"no",538000,3,2.25,2570,7242,2,3,7,2170,47.721,-122.319,8.11461228627291,1690,7639,"no","no","yes","yes","non-summer"
82,"no",180000,2,1,770,10000,1,3,6,770,47.7379,-122.233,8.14738910736097,2720,8062,"no","no","no","no","non-summer"
50,"no",604000,4,3,1960,5000,1,5,7,1050,47.5208,-122.393,10.2331090829565,1360,5000,"no","no","yes","no","non-summer"
28,"no",510000,3,2,1680,8080,1,3,8,1680,47.6168,-122.045,8.61901045121258,1800,7503,"no","no","no","no","non-summer"
14,"yes",1225000,4,4.5,5420,101930,1,3,11,3890,47.6561,-122.005,10.7680599458113,4760,101930,"no","no","yes","no","summer"
20,"no",257500,3,2.25,1715,6819,2,3,7,1715,47.3097,-122.327,21.913425742669,2238,6819,"no","no","no","no","summer"
52,"no",291850,3,1.5,1060,9711,1,3,7,1060,47.4095,-122.315,15.0755064526944,1650,9711,"no","no","no","no","non-summer"
55,"no",229500,3,1,1780,7470,1,3,7,1050,47.5123,-122.337,8.95873411491281,1780,8113,"no","no","yes","no","non-summer"
12,"no",323000,3,2.5,1890,6560,2,3,7,1890,47.3684,-122.031,19.7107400365315,2390,7570,"no","no","no","no","non-summer"
50,"no",662500,3,2.5,3560,9796,1,3,8,1860,47.6007,-122.145,4.17792489211702,2210,8925,"no","no","yes","no","non-summer"
73,"no",468000,2,1,1160,6000,1,4,7,860,47.69,-122.292,5.63196496894761,1330,6000,"no","no","yes","no","summer"
88,"no",310000,3,1,1430,19901,1.5,4,7,1430,47.7558,-122.229,9.38309330369166,1780,12697,"no","no","no","no","summer"
38,"no",4e+05,3,1.75,1370,9680,1,4,7,1370,47.6127,-122.045,8.63126194761715,1370,10208,"no","no","no","no","non-summer"
115,"no",530000,5,2,1810,4850,1.5,3,7,1810,47.67,-122.394,8.37952978582948,1360,4850,"no","no","no","no","non-summer"
36,"no",650000,4,3,2950,5000,2,3,9,1980,47.5714,-122.375,7.54463567049207,2140,4000,"no","yes","yes","no","non-summer"
21,"no",395000,3,2,1890,14040,2,3,7,1890,47.7277,-121.962,14.5203228055075,1890,14018,"no","no","no","no","summer"
99,"no",485000,4,1,1600,4300,1.5,4,7,1600,47.6648,-122.343,6.10358791818354,1610,4300,"no","no","no","no","summer"
94,"no",189000,2,1,1200,9850,1,4,7,1200,47.3089,-122.21,21.5154643425413,1060,5095,"no","no","no","no","non-summer"
46,"no",230000,3,1,1250,9774,1,4,7,1250,47.3343,-122.306,20.0567022179079,1280,8850,"no","no","no","no","non-summer"
68,"no",385000,4,1.75,1620,4980,1,4,7,860,47.7025,-122.341,7.69253034738882,1400,4980,"no","no","yes","no","summer"
47,"yes",2e+06,3,2.75,3050,44867,1,3,9,2330,47.5316,-122.233,6.10951844448519,4110,20336,"no","yes","yes","no","summer"
20,"no",285000,5,2.5,2270,6300,2,3,8,2270,47.3266,-122.169,20.4714057041036,2240,7005,"no","no","no","no","summer"
30,"no",252700,2,1.5,1070,9643,1,3,7,1070,47.3533,-122.166,18.6681106775101,1220,8386,"no","no","no","no","summer"
30,"no",329000,3,2.25,2450,6500,2,4,8,2450,47.3739,-122.172,17.2182679574018,2200,6865,"no","no","no","no","non-summer"
74,"no",233000,3,2,1710,4697,1.5,5,6,1710,47.3048,-122.218,21.7856712765389,1030,4705,"no","no","no","no","non-summer"
100,"yes",937000,3,1.75,2450,2691,2,3,8,1750,47.6386,-122.36,6.18826483022443,1760,3573,"no","no","yes","no","summer"
106,"no",667000,3,1,1400,1581,1.5,5,8,1400,47.6221,-122.314,3.91470113963082,1860,3861,"no","no","no","no","non-summer"
67,"no",438000,3,1.75,1520,6380,1,3,7,790,47.695,-122.304,6.22206563793619,1520,6235,"no","no","yes","no","summer"
10,"yes",719000,4,2.5,2570,7173,2,3,8,2570,47.7073,-122.11,8.21981597891196,2630,6026,"no","no","no","no","non-summer"
12,"no",580500,3,2.5,2320,3980,2,3,8,2320,47.5391,-122.07,9.31971506926403,2580,3980,"no","no","no","no","non-summer"
10,"no",280000,2,1.5,1190,1265,3,3,7,1190,47.7274,-122.357,9.48571153964589,1390,1756,"no","no","no","no","non-summer"
86,"no",687500,4,1.75,2330,5000,1.5,4,7,1510,47.6823,-122.368,7.73216648118518,1460,5000,"no","no","yes","no","summer"
86,"no",535000,3,1,1090,3000,1.5,4,8,1090,47.6889,-122.375,8.25870417224728,1570,5080,"no","no","no","no","non-summer"
34,"no",322500,4,2.75,2060,6659,1,3,7,1280,47.4276,-122.157,13.7231060948224,2020,8720,"no","no","yes","no","non-summer"
85,"no",696000,3,2.5,2300,3060,1.5,3,8,1510,47.6827,-122.31,5.71252004248966,1590,3264,"no","no","yes","yes","summer"
82,"no",550000,4,1,1660,34848,1,1,5,930,47.6621,-122.132,5.41070677523694,2160,11467,"no","no","yes","no","summer"
